,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
121,2.4,3.46,E,291,1453,,9.8,13.1,A,0.5,0.79,2.68,20,6,8,84,1.51,1.1,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
122,2.2,3.25,E,291,1453,,14,13.2,A,0.5,0.89,2.64,20,6,8,84,1.49,1.09,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
123,1.9,3.29,E,291,1453,,11.5,13.35,A,0.5,0.98,2.59,20,6,8,84,1.48,1.08,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
124,1.4,3.18,E,291,1453,,16.8,13.52,A,0.5,1.08,2.54,20,6,8,84,1.47,1.07,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
125,1.4,2.98,E,291,1453,,11.9,13.72,A,0.5,1.27,2.45,20,6,8,84,1.45,1.06,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
126,1.1,2.92,E,291,1453,,10.1,13.96,A,0.5,1.36,2.41,20,6,8,84,1.44,1.05,2.79,10993,36.98,95,23.5,0,1.04,0,71,1,D
127,1,2.51,E,291,1453,,16.5,14.2,A,0.5,1.46,2.36,20,6,8,84,1.42,1.04,2.82,10993,36.98,95,23.5,0,1.04,0,71,1,D
128,1.9,2.28,E,291,1453,,10.8,14.44,A,0.5,1.55,2.32,20,6,8,84,1.41,1.03,2.87,10993,36.98,95,23.5,0,1.04,0,71,1,D
129,1.1,1.8,E,291,1453,,11.2,14.92,A,0.5,1.74,2.23,20,6,8,84,1.4,1.02,2.94,10993,36.98,95,23.5,0,1.04,0,71,1,D
130,0.8,1.77,E,291,1453,,15.5,15.13,A,0.5,1.84,2.18,20,6,8,84,1.38,1,3.18,10993,36.98,95,23.5,0,1.04,0,71,1,D
131,2.5,1.66,E,291,1453,,14.7,15.38,A,0.5,1.93,2.14,20,6,8,84,1.35,0.99,3.57,10993,36.98,95,23.5,0,1.04,0,71,1,D
132,1.8,1.94,E,291,1453,,25.6,15.73,A,0.5,2.03,2.09,20,6,8,84,1.33,0.97,3.97,10993,36.98,95,23.5,0,1.04,0,71,1,D
133,2.4,1.92,A,305,1467,,11.5,10.14,A,0.5,0.5,2.5,20,6,8,98,1.89,1.89,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
134,2.6,1.83,A,305,1467,,2.7,10.19,A,0.5,0.5,2.54,20,6,8,98,1.88,1.88,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
135,1.7,2.08,B,305,1467,,12.1,10.26,A,0.5,0.51,2.58,20,6,8,98,1.87,1.87,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
136,2.5,2.78,B,305,1467,,9.7,10.34,A,0.5,0.51,2.62,20,6,8,98,1.86,1.86,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
137,4.7,3.31,E,305,1467,,7.9,10.44,A,0.5,0.52,2.66,20,6,8,98,1.84,1.84,2.03,10993,40.88,109,1.5,0,1.08,0,85,1,E
