,A,B,C,D1,D2,D3,D4,D5,E1,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F34,F35,G,H
1150,0.3,1.24,E,65,1103,,31.6,25.3,G,1,1.19,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1151,0.4,1.16,E,65,1103,,36.8,25.27,G,1,1.19,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1152,0.8,1.47,E,65,1103,,29,25.23,G,1,1.17,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1153,1.5,1.67,E,65,1103,,27.6,25.19,G,1,1.16,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1154,0.9,1.56,E,65,1103,,21.1,25.16,G,1,1.16,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1155,1.5,1.86,E,65,1103,,23.6,25.13,G,1,1.15,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1156,2.6,1.92,E,65,1103,,29.8,25.09,G,1,1.14,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1157,3.6,2.12,E,65,1103,,29.2,25.07,G,1,1.13,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1158,3.3,2.18,E,65,1103,,35.6,25.03,G,1,1.12,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1159,2.8,2.33,E,65,1103,,36.2,25,G,1,1.12,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1160,3.6,2.32,E,65,1103,,35.4,24.96,G,1,1.11,2.29,0,0,0,0,0.44,0.44,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1161,4.2,2.7,E,65,1103,,36.1,24.94,G,1,1.1,2.29,0,0,0,0,0.45,0.45,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1162,1.2,2.06,E,65,1103,,31.3,24.9,G,1,1.09,2.29,0,0,0,0,0.45,0.45,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1163,1.7,2.12,E,65,1103,,29.6,24.84,G,1,1.08,2.29,0,0,0,0,0.45,0.45,0.9,585.9,11.8,65,0,0,0,0,0,5,E
1164,1,2.52,E,65,1103,,24.3,24.74,G,1,1.06,2.29,0,0,0,0,0.45,0.45,1.41,585.9,11.8,65,0,0,0,0,0,5,E
1165,0.3,2.19,E,65,1103,,27.4,24.71,G,1,1.05,2.29,0,0,0,0,0.45,0.45,2.34,585.9,11.8,65,0,0,0,0,0,5,E
1166,0.4,-0.48,C,13,1116,,25.8,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.06,42.84,4268.2,2,13,0,0,0,0,0,6,A
1167,-0.6,-0.36,C,13,1116,,14.8,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.06,28.48,4268.2,2,13,0,0,0,0,0,6,A
1168,-0.2,-0.56,D,13,1116,,13.4,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.06,22.16,4268.2,2,13,0,0,0,0,0,6,A
1169,-0.1,-0.56,D,13,1116,,5.4,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.06,17.29,4268.2,2,13,0,0,0,0,0,6,A
1170,-0.3,-0.75,E,13,1116,,22.9,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1171,-0.2,-0.65,E,13,1116,,30.1,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1172,0.4,-0.7,E,13,1116,,38.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1173,0.7,-0.53,E,13,1116,,36.2,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1174,0.8,-0.53,E,13,1116,,30.8,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1175,-0.2,-0.62,E,13,1116,,31.6,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1176,0.6,-0.65,E,13,1116,,36.8,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1177,0.8,-0.76,E,13,1116,,29,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1178,0.7,-0.71,E,13,1116,,27.6,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1179,1,-0.92,E,13,1116,,21.1,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1180,0.3,-0.93,E,13,1116,,23.6,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1181,1,-0.95,E,13,1116,,29.8,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1182,0.6,-0.92,E,13,1116,,29.2,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1183,1.2,-0.9,E,13,1116,,35.6,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1184,1.1,-0.69,E,13,1116,,36.2,25,G,1,1.12,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1185,0.4,-0.83,E,13,1116,,35.4,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1186,0.3,-0.62,E,13,1116,,36.1,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1187,1.7,-0.6,E,13,1116,,31.3,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1188,0.1,-0.35,E,13,1116,,29.6,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.06,15.33,4268.2,2,13,0,0,0,0,0,6,A
1189,-0.7,-0.27,E,13,1116,,24.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.06,17.29,4268.2,2,13,0,0,0,0,0,6,A
1190,0,-0.31,E,13,1116,,27.4,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.06,22.16,4268.2,2,13,0,0,0,0,0,6,A
1191,0.9,-0.28,C,53,1156,,25.6,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.25,9.89,4268.2,7,53,0,0,0,0,0,6,B
1192,-1,0.31,C,53,1156,,15.2,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.25,6.57,4268.2,7,53,0,0,0,0,0,6,B
1193,-0.6,0.08,D,53,1156,,14.2,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.25,5.11,4268.2,7,53,0,0,0,0,0,6,B
1194,0,0.17,D,53,1156,,4.1,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.25,3.99,4268.2,7,53,0,0,0,0,0,6,B
1195,-0.4,-0.1,E,53,1156,,23.6,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.25,3.54,4268.2,7,53,0,0,0,0,0,6,B
1196,1,0.39,E,53,1156,,29.8,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1197,0.6,0.55,E,53,1156,,39.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1198,0.6,0.8,E,53,1156,,36.6,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1199,2.4,0.8,E,53,1156,,30.7,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1200,1.9,0.88,E,53,1156,,31.9,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1201,2.2,0.89,E,53,1156,,37.2,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1202,2,0.36,E,53,1156,,29.8,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1203,1.2,0.24,E,53,1156,,29.1,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1204,1.1,-0.12,E,53,1156,,22,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1205,1.7,-0.08,E,53,1156,,25.1,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1206,3.2,-0.35,E,53,1156,,32.4,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1207,2.1,-0.14,E,53,1156,,32.8,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1208,2.5,-0.25,E,53,1156,,38.9,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1209,2.2,0.14,E,53,1156,,39,25,G,1,1.12,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1210,1.8,-0.15,E,53,1156,,39,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1211,1,0.31,E,53,1156,,40.3,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1212,2.4,0.3,E,53,1156,,32.5,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1213,1.1,0.31,E,53,1156,,31.3,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.26,3.54,4268.2,7,53,0,0,0,0,0,6,B
1214,0.7,-0.01,E,53,1156,,25.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.26,3.99,4268.2,7,53,0,0,0,0,0,6,B
1215,0.5,-0.31,E,53,1156,,27.7,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.26,5.11,4268.2,7,53,0,0,0,0,0,6,B
1216,0,-0.85,C,75,1178,,25.6,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.43,5.79,4268.2,12,75,0,0,0,0,0,6,C
1217,-1.6,-0.57,C,75,1178,,15.2,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.43,3.85,4268.2,12,75,0,0,0,0,0,6,C
1218,0.5,-0.31,D,75,1178,,14.2,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.43,2.99,4268.2,12,75,0,0,0,0,0,6,C
1219,0.3,0.07,D,75,1178,,4.1,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.43,2.34,4268.2,12,75,0,0,0,0,0,6,C
1220,0.1,-0.08,E,75,1178,,23.6,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1221,1.6,0.15,E,75,1178,,29.8,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1222,1.8,0.25,E,75,1178,,39.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1223,2.8,0.79,E,75,1178,,36.6,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1224,3.9,0.79,E,75,1178,,30.7,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1225,2.6,0.8,E,75,1178,,31.9,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1226,4.5,1.05,E,75,1178,,37.2,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1227,2.9,0.83,E,75,1178,,29.8,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1228,2.9,0.78,E,75,1178,,29.1,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1229,1.6,0.54,E,75,1178,,22,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1230,2.7,0.34,E,75,1178,,25.1,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1231,3.3,0.17,E,75,1178,,32.4,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1232,3.2,0.2,E,75,1178,,32.8,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1233,2.5,0.04,E,75,1178,,38.9,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1234,3.2,0.27,E,75,1178,,39,25,G,1,1.12,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1235,3.4,-0.06,E,75,1178,,39,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.44,2.07,4268.2,12,75,0,0,0,0,0,6,C
1236,1.3,0.05,E,75,1178,,40.3,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.45,2.07,4268.2,12,75,0,0,0,0,0,6,C
1237,1.9,-0.22,E,75,1178,,32.5,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.45,2.07,4268.2,12,75,0,0,0,0,0,6,C
1238,1.5,-0.28,E,75,1178,,31.3,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.45,2.07,4268.2,12,75,0,0,0,0,0,6,C
1239,0.5,-0.36,E,75,1178,,25.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.45,2.34,4268.2,12,75,0,0,0,0,0,6,C
1240,0.3,-0.58,E,75,1178,,27.7,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.45,2.99,4268.2,12,75,0,0,0,0,0,6,C
1241,-1,-0.87,C,96,1199,,25.6,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.6,4.17,4268.2,20,96,0,0,0,0,0,6,D
1242,0.7,-0.03,C,96,1199,,15.2,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.6,2.77,4268.2,20,96,0,0,0,0,0,6,D
1243,-0.4,-0.07,D,96,1199,,14.2,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.6,2.16,4268.2,20,96,0,0,0,0,0,6,D
1244,1.5,0.11,D,96,1199,,4.1,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.6,1.68,4268.2,20,96,0,0,0,0,0,6,D
1245,0.4,-0.12,E,96,1199,,23.6,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.6,1.49,4268.2,20,96,0,0,0,0,0,6,D
1246,2.4,0.37,E,96,1199,,29.8,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1247,3.8,0.76,E,96,1199,,39.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1248,5,1.38,E,96,1199,,36.6,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1249,6.5,1.38,E,96,1199,,30.7,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1250,6.7,1.86,E,96,1199,,31.9,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1251,6.4,2.13,E,96,1199,,37.2,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1252,6.3,1.61,E,96,1199,,29.8,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1253,4.3,1.41,E,96,1199,,29.1,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1254,3.7,0.99,E,96,1199,,22,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1255,4.3,0.57,E,96,1199,,25.1,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1256,4.2,0.1,E,96,1199,,32.4,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1257,3.6,0.2,E,96,1199,,32.8,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.61,1.49,4268.2,20,96,0,0,0,0,0,6,D
1258,3.6,0.2,E,96,1199,,38.9,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1259,4,0.35,E,96,1199,,39,25,G,1,1.12,2.29,0,0,0,0,0.79,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1260,3,0.22,E,96,1199,,39,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1261,2.3,0.29,E,96,1199,,40.3,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1262,2.6,0.19,E,96,1199,,32.5,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1263,1.7,0.29,E,96,1199,,31.3,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.62,1.49,4268.2,20,96,0,0,0,0,0,6,D
1264,1.1,-0.38,E,96,1199,,25.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.62,1.68,4268.2,20,96,0,0,0,0,0,6,D
1265,0.8,-0.67,E,96,1199,,27.7,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.62,2.16,4268.2,20,96,0,0,0,0,0,6,D
1266,0,-1.96,C,124,1227,,25.6,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.77,3.25,4268.2,26,124,0,0,0,0,0,6,E
1267,-0.1,-1.03,C,124,1227,,15.2,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.77,2.16,4268.2,26,124,0,0,0,0,0,6,E
1268,-0.4,-1.33,D,124,1227,,14.2,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.77,1.68,4268.2,26,124,0,0,0,0,0,6,E
1269,1.7,-1.63,D,124,1227,,4.1,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.77,1.31,4268.2,26,124,0,0,0,0,0,6,E
1270,2.3,-1.73,E,124,1227,,23.6,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.77,1.16,4268.2,26,124,0,0,0,0,0,6,E
1271,6.1,-1.32,E,124,1227,,29.8,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1272,7.6,-0.58,E,124,1227,,39.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1273,10,0.54,E,124,1227,,36.6,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1274,14.5,0.54,E,124,1227,,30.7,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1275,13.7,1.05,E,124,1227,,31.9,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1276,14.9,1.27,E,124,1227,,37.2,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1277,13,0.74,E,124,1227,,29.8,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1278,11.2,0.6,E,124,1227,,29.1,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1279,9,0.04,E,124,1227,,22,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,124,0,0,0,0,0,6,E
1280,7.7,-0.56,E,124,1227,,25.1,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1281,7.4,-1.31,E,124,1227,,32.4,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1282,4.8,-1.21,E,124,1227,,32.8,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1283,4.8,-1.11,E,124,1227,,38.9,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1284,5.3,-0.87,E,124,1227,,39,25,G,1,1.12,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1285,4.6,-0.81,E,124,1227,,39,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1286,2.1,-0.62,E,124,1227,,40.3,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1287,3.3,-0.81,E,124,1227,,32.5,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,124,0,0,0,0,0,6,E
1288,2.3,-1.23,E,124,1227,,31.3,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.8,1.16,4268.2,26,124,0,0,0,0,0,6,E
1289,0.9,-1.68,E,124,1227,,25.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.8,1.31,4268.2,26,124,0,0,0,0,0,6,E
1290,1.3,-2.02,E,124,1227,,27.7,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.8,1.68,4268.2,26,124,0,0,0,0,0,6,E
1291,1.1,-0.35,C,240,1343,,25.6,25.78,G,1,1.31,2.29,0,0,0,0,0.77,0.77,3.25,4268.2,26,240,0,0,0,0,0,6,F
1292,0.6,0.09,C,240,1343,,15.2,25.64,G,1,1.27,2.29,0,0,0,0,0.77,0.77,2.16,4268.2,26,240,0,0,0,0,0,6,F
1293,1.2,-0.56,D,240,1343,,14.2,25.61,G,1,1.26,2.29,0,0,0,0,0.77,0.77,1.68,4268.2,26,240,0,0,0,0,0,6,F
1294,4.3,-0.83,D,240,1343,,4.1,25.54,G,1,1.24,2.29,0,0,0,0,0.77,0.77,1.31,4268.2,26,240,0,0,0,0,0,6,F
1295,5.8,-1.25,E,240,1343,,23.6,25.51,G,1,1.23,2.29,0,0,0,0,0.77,0.77,1.16,4268.2,26,240,0,0,0,0,0,6,F
1296,10.3,-1.85,E,240,1343,,29.8,25.41,G,1,1.22,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1297,14.1,-1.48,E,240,1343,,39.6,25.37,G,1,1.21,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1298,17.6,0,E,240,1343,,36.6,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1299,21.9,0,E,240,1343,,30.7,25.34,G,1,1.2,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1300,21.1,-0.06,E,240,1343,,31.9,25.3,G,1,1.19,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1301,22.7,0.39,E,240,1343,,37.2,25.27,G,1,1.19,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1302,19.8,-0.25,E,240,1343,,29.8,25.23,G,1,1.17,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1303,17.5,-0.08,E,240,1343,,29.1,25.19,G,1,1.16,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1304,14.8,-0.1,E,240,1343,,22,25.16,G,1,1.16,2.29,0,0,0,0,0.78,0.78,1.16,4268.2,26,240,0,0,0,0,0,6,F
1305,13.2,-0.3,E,240,1343,,25.1,25.13,G,1,1.15,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1306,11.8,-1.14,E,240,1343,,32.4,25.09,G,1,1.14,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1307,8.3,-1.06,E,240,1343,,32.8,25.07,G,1,1.13,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1308,8.9,-0.84,E,240,1343,,38.9,25.03,G,1,1.12,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1309,8.4,-0.47,E,240,1343,,39,25,G,1,1.12,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1310,7.7,-0.64,E,240,1343,,39,24.96,G,1,1.11,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1311,5.9,-0.72,E,240,1343,,40.3,24.94,G,1,1.1,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1312,7,-0.5,E,240,1343,,32.5,24.9,G,1,1.09,2.29,0,0,0,0,0.79,0.79,1.16,4268.2,26,240,0,0,0,0,0,6,F
1313,4.4,-0.73,E,240,1343,,31.3,24.84,G,1,1.08,2.29,0,0,0,0,0.8,0.8,1.16,4268.2,26,240,0,0,0,0,0,6,F
1314,4.5,-0.96,E,240,1343,,25.3,24.74,G,1,1.06,2.29,0,0,0,0,0.8,0.8,1.31,4268.2,26,240,0,0,0,0,0,6,F
1315,2,-1.14,E,240,1343,,27.7,24.71,G,1,1.05,2.29,0,0,0,0,0.8,0.8,1.68,4268.2,26,240,0,0,0,0,0,6,F
1316,-1.51,1.19,C,92,807,,23.79,25.49,G,1,1.31,2.29,0,0,0,0,0.77,0.06,45.65,3682.3,2.5,92,0,0,0,0,0,4,A
1317,-1.88,1.41,C,92,807,,22.39,25.34,G,1,1.28,2.29,0,0,0,0,0.78,0.06,32.56,3682.3,2.5,92,0,0,0,0,0,4,A
1318,-1.24,1.43,D,92,807,,13.41,25.08,G,1,1.26,2.29,0,0,0,0,0.79,0.06,27.2,3682.3,2.5,92,0,0,0,0,0,4,A
