A,B,D1,D2,D4,D5,E2,E3,E4,F11,F12,F13,F14,F21,F22,F23,F24,F25,F26,F31,F32,F33,F35,G,0,1,2,3,4,0,1,2,3,0,1,2,3,4,5,6
2.2,2.46,249,1411,-1.1,10.5,0.5,0.52,2.7,20,6,8,42,1.83,0.64,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.2,3.17,249,1411,1.4,10.66,0.5,0.53,2.78,20,6,8,42,1.81,0.63,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.9,3.27,249,1411,7.0,10.75,0.5,0.54,2.81,20,6,8,42,1.8,0.63,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.1,3.4,249,1411,4.7,10.87,0.5,0.54,2.85,20,6,8,42,1.79,0.62,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.3,3.42,249,1411,13.7,10.99,0.5,0.55,2.89,20,6,8,42,1.77,0.62,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,3.18,249,1411,6.8,11.15,0.5,0.55,2.93,20,6,8,42,1.75,0.61,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.7,3.28,249,1411,11.8,11.31,0.5,0.55,2.97,20,6,8,42,1.72,0.6,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.3,3.03,249,1411,9.5,11.49,0.5,0.56,3.01,20,6,8,42,1.7,0.59,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.9,3.02,249,1411,9.5,11.64,0.5,0.56,3.05,20,6,8,42,1.67,0.58,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4.0,3.04,249,1411,6.9,11.83,0.5,0.57,3.09,20,6,8,42,1.65,0.58,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
